Country,State,city,place,lastupdate,Avg,Max,Min,Pollutants
India,Delhi,Delhi,"Punjabi Bagh, Delhi - DPCC",21-12-2018 03:00:00,320,434,185,PM10
India,Delhi,Delhi,"Punjabi Bagh, Delhi - DPCC",21-12-2018 03:00:00,119,203,75,NO2
India,Delhi,Delhi,"Punjabi Bagh, Delhi - DPCC",21-12-2018 03:00:00,21,25,16,NH3
India,Delhi,Delhi,"Punjabi Bagh, Delhi - DPCC",21-12-2018 03:00:00,NA,NA,NA,SO2
India,Delhi,Delhi,"Punjabi Bagh, Delhi - DPCC",21-12-2018 03:00:00,65,143,32,CO
India,Delhi,Delhi,"Punjabi Bagh, Delhi - DPCC",21-12-2018 03:00:00,38,95,6,OZONE
India,Delhi,Delhi,"Pusa, Delhi - DPCC",21-12-2018 03:00:00,410,475,332,PM2.5
India,Delhi,Delhi,"Pusa, Delhi - DPCC",21-12-2018 03:00:00,381,480,274,PM10
India,Delhi,Delhi,"Pusa, Delhi - DPCC",21-12-2018 03:00:00,114,191,55,NO2
India,Delhi,Delhi,"Pusa, Delhi - DPCC",21-12-2018 03:00:00,14,18,11,NH3
India,Delhi,Delhi,"Pusa, Delhi - DPCC",21-12-2018 03:00:00,16,28,6,SO2
India,Delhi,Delhi,"Pusa, Delhi - DPCC",21-12-2018 03:00:00,108,141,91,CO
India,Delhi,Delhi,"Pusa, Delhi - DPCC",21-12-2018 03:00:00,18,42,1,OZONE
India,Delhi,Delhi,"Pusa, Delhi - IMD",21-12-2018 03:00:00,354,430,250,PM2.5
India,Delhi,Delhi,"Pusa, Delhi - IMD",21-12-2018 03:00:00,269,417,157,PM10
India,Delhi,Delhi,"Pusa, Delhi - IMD",21-12-2018 03:00:00,60,108,34,NO2
India,Delhi,Delhi,"Pusa, Delhi - IMD",21-12-2018 03:00:00,31,85,21,CO
India,Delhi,Delhi,"Pusa, Delhi - IMD",21-12-2018 03:00:00,25,39,15,OZONE
India,Delhi,Delhi,"R K Puram, Delhi - DPCC",21-12-2018 03:00:00,408,493,305,PM2.5
India,Delhi,Delhi,"R K Puram, Delhi - DPCC",21-12-2018 03:00:00,364,493,173,PM10
India,Delhi,Delhi,"R K Puram, Delhi - DPCC",21-12-2018 03:00:00,126,174,60,NO2
India,Delhi,Delhi,"R K Puram, Delhi - DPCC",21-12-2018 03:00:00,10,13,7,NH3
India,Delhi,Delhi,"R K Puram, Delhi - DPCC",21-12-2018 03:00:00,24,41,8,SO2
India,Delhi,Delhi,"R K Puram, Delhi - DPCC",21-12-2018 03:00:00,47,182,10,CO
India,Delhi,Delhi,"R K Puram, Delhi - DPCC",21-12-2018 03:00:00,185,185,51,OZONE
India,Delhi,Delhi,"Rohini, Delhi - DPCC",21-12-2018 03:00:00,421,500,311,PM2.5
India,Delhi,Delhi,"Rohini, Delhi - DPCC",21-12-2018 03:00:00,372,500,187,PM10
India,Delhi,Delhi,"Rohini, Delhi - DPCC",21-12-2018 03:00:00,82,178,19,NO2
India,Delhi,Delhi,"Rohini, Delhi - DPCC",21-12-2018 03:00:00,19,23,12,NH3
India,Delhi,Delhi,"Rohini, Delhi - DPCC",21-12-2018 03:00:00,28,39,13,SO2
